color1,color2,transformed_color1,transformed_color2,distance,transformed_distance
"(0, 11, 173)","(27, 0, 174)","(0, 16, 168)","(0, 16, 168)",29.1719042916,0.0
"(0, 11, 173)","(28, 0, 174)","(0, 16, 168)","(0, 16, 168)",30.0998338866,0.0
"(0, 11, 173)","(29, 0, 174)","(0, 16, 168)","(0, 16, 168)",31.0322412984,0.0
"(0, 11, 174)","(26, 0, 175)","(0, 16, 169)","(0, 16, 169)",28.2488937837,0.0
"(0, 11, 174)","(27, 0, 175)","(0, 16, 169)","(0, 16, 169)",29.1719042916,0.0
"(0, 11, 174)","(28, 0, 175)","(0, 16, 169)","(0, 16, 169)",30.0998338866,0.0
"(0, 11, 174)","(29, 0, 175)","(0, 16, 169)","(0, 16, 169)",31.0322412984,0.0
"(0, 11, 175)","(26, 0, 176)","(0, 16, 170)","(0, 16, 170)",28.2488937837,0.0
"(0, 11, 175)","(27, 0, 176)","(0, 16, 170)","(0, 16, 170)",29.1719042916,0.0
"(0, 11, 175)","(28, 0, 176)","(0, 16, 170)","(0, 16, 170)",30.0998338866,0.0
"(0, 11, 175)","(29, 0, 176)","(0, 16, 170)","(0, 16, 170)",31.0322412984,0.0
"(0, 11, 176)","(26, 0, 177)","(0, 16, 171)","(0, 16, 171)",28.2488937837,0.0
"(0, 11, 176)","(27, 0, 177)","(0, 16, 171)","(0, 16, 171)",29.1719042916,0.0
"(0, 11, 176)","(28, 0, 177)","(0, 16, 171)","(0, 16, 171)",30.0998338866,0.0
"(0, 11, 177)","(26, 0, 178)","(0, 16, 172)","(0, 16, 172)",28.2488937837,0.0
"(0, 11, 177)","(27, 0, 178)","(0, 16, 172)","(0, 16, 172)",29.1719042916,0.0
"(0, 11, 177)","(28, 0, 178)","(0, 16, 172)","(0, 16, 172)",30.0998338866,0.0
"(0, 11, 178)","(26, 0, 179)","(0, 16, 173)","(0, 16, 173)",28.2488937837,0.0
"(0, 11, 178)","(27, 0, 179)","(0, 16, 173)","(0, 16, 173)",29.1719042916,0.0
"(0, 11, 178)","(28, 0, 179)","(0, 16, 173)","(0, 16, 173)",30.0998338866,0.0
"(0, 11, 179)","(25, 0, 180)","(0, 16, 174)","(0, 16, 174)",27.3313007374,0.0
"(0, 11, 179)","(26, 0, 180)","(0, 16, 174)","(0, 16, 174)",28.2488937837,0.0
"(0, 11, 179)","(27, 0, 180)","(0, 16, 174)","(0, 16, 174)",29.1719042916,0.0
"(0, 11, 179)","(28, 0, 180)","(0, 16, 174)","(0, 16, 174)",30.0998338866,0.0
"(0, 11, 180)","(25, 0, 181)","(0, 16, 175)","(0, 16, 175)",27.3313007374,0.0
"(0, 11, 180)","(26, 0, 181)","(0, 16, 175)","(0, 16, 175)",28.2488937837,0.0
"(0, 11, 180)","(27, 0, 181)","(0, 16, 175)","(0, 16, 175)",29.1719042916,0.0
"(0, 11, 180)","(28, 0, 181)","(0, 16, 175)","(0, 16, 175)",30.0998338866,0.0
"(0, 11, 181)","(25, 0, 182)","(0, 16, 176)","(0, 16, 176)",27.3313007374,0.0
"(0, 11, 181)","(26, 0, 182)","(0, 16, 176)","(0, 16, 176)",28.2488937837,0.0
"(0, 11, 181)","(27, 0, 182)","(0, 16, 176)","(0, 16, 176)",29.1719042916,0.0
"(0, 11, 181)","(28, 0, 182)","(0, 16, 176)","(0, 16, 176)",30.0998338866,0.0
"(0, 11, 182)","(25, 0, 183)","(0, 16, 177)","(0, 16, 177)",27.3313007374,0.0
"(0, 11, 182)","(26, 0, 183)","(0, 16, 177)","(0, 16, 177)",28.2488937837,0.0
