color1,color2,transformed_color1,transformed_color2,distance,transformed_distance
"(205, 1, 0)","(207, 0, 0)","(76, 58, -2)","(76, 58, -2)",2.2360679775,0.0
"(205, 1, 0)","(208, 0, 0)","(76, 58, -2)","(76, 58, -2)",3.16227766017,0.0
"(205, 2, 0)","(209, 0, 0)","(77, 59, -2)","(77, 59, -2)",4.472135955,0.0
"(205, 2, 0)","(209, 0, 1)","(77, 59, -2)","(77, 59, -2)",4.58257569496,0.0
"(205, 2, 0)","(210, 0, 0)","(77, 59, -2)","(77, 59, -2)",5.38516480713,0.0
"(205, 2, 0)","(210, 0, 1)","(77, 59, -2)","(77, 59, -2)",5.47722557505,0.0
"(205, 2, 0)","(211, 0, 1)","(77, 59, -2)","(77, 59, -2)",6.40312423743,0.0
"(205, 3, 0)","(211, 0, 0)","(78, 59, -2)","(78, 59, -2)",6.7082039325,0.0
"(205, 3, 0)","(212, 0, 1)","(78, 59, -2)","(78, 59, -2)",7.68114574787,0.0
"(205, 4, 0)","(215, 0, 1)","(79, 60, -2)","(79, 60, -2)",10.8166538264,0.0
"(205, 5, 0)","(218, 0, 1)","(80, 61, -2)","(80, 61, -2)",13.9642400438,0.0
"(205, 5, 0)","(219, 0, 1)","(80, 61, -2)","(80, 61, -2)",14.8996644258,0.0
"(205, 6, 0)","(218, 0, 1)","(80, 61, -2)","(80, 61, -2)",14.3527000944,0.0
"(205, 6, 0)","(219, 0, 1)","(80, 61, -2)","(80, 61, -2)",15.2643375225,0.0
"(205, 7, 0)","(220, 0, 1)","(81, 62, -2)","(81, 62, -2)",16.5831239518,0.0
"(205, 7, 0)","(221, 0, 1)","(81, 62, -2)","(81, 62, -2)",17.4928556845,0.0
"(205, 7, 0)","(222, 0, 1)","(81, 62, -2)","(81, 62, -2)",18.4119526395,0.0
"(205, 8, 0)","(223, 0, 1)","(82, 63, -2)","(82, 63, -2)",19.7230829233,0.0
"(205, 8, 0)","(224, 0, 1)","(82, 63, -2)","(82, 63, -2)",20.6397674406,0.0
"(205, 8, 0)","(225, 0, 1)","(82, 63, -2)","(82, 63, -2)",21.5638586528,0.0
"(205, 9, 0)","(226, 0, 1)","(83, 63, -2)","(83, 63, -2)",22.8691932521,0.0
"(205, 10, 0)","(228, 0, 1)","(84, 64, -2)","(84, 64, -2)",25.099800796,0.0
"(205, 10, 0)","(229, 0, 1)","(84, 64, -2)","(84, 64, -2)",26.0192236625,0.0
"(205, 10, 0)","(230, 0, 1)","(84, 64, -2)","(84, 64, -2)",26.9443871706,0.0
"(205, 11, 0)","(231, 0, 1)","(85, 65, -2)","(85, 65, -2)",28.2488937837,0.0
"(205, 11, 0)","(232, 0, 1)","(85, 65, -2)","(85, 65, -2)",29.1719042916,0.0
"(205, 11, 0)","(233, 0, 1)","(85, 65, -2)","(85, 65, -2)",30.0998338866,0.0
"(205, 13, 0)","(234, 0, 1)","(86, 66, -2)","(86, 66, -2)",31.7962261912,0.0
"(205, 13, 0)","(235, 0, 1)","(86, 66, -2)","(86, 66, -2)",32.7108544676,0.0
"(205, 13, 0)","(236, 0, 1)","(86, 66, -2)","(86, 66, -2)",33.6303434416,0.0
"(205, 14, 0)","(238, 0, 1)","(87, 67, -2)","(87, 67, -2)",35.8608421541,0.0
"(205, 15, 0)","(241, 0, 1)","(88, 68, -2)","(88, 68, -2)",39.0128184063,0.0
"(205, 16, 0)","(242, 0, 1)","(89, 68, -2)","(89, 68, -2)",40.3236903073,0.0
"(205, 16, 0)","(243, 0, 1)","(89, 68, -2)","(89, 68, -2)",41.2431812546,0.0
"(205, 16, 0)","(244, 0, 1)","(89, 68, -2)","(89, 68, -2)",42.1663372846,0.0
"(205, 17, 0)","(245, 0, 1)","(90, 69, -2)","(90, 69, -2)",43.4741302386,0.0
"(205, 17, 0)","(246, 0, 1)","(90, 69, -2)","(90, 69, -2)",44.3959457608,0.0
"(205, 18, 0)","(248, 0, 1)","(91, 70, -2)","(91, 70, -2)",46.6261729075,0.0
"(205, 18, 0)","(249, 0, 1)","(91, 70, -2)","(91, 70, -2)",47.5499737119,0.0
"(205, 19, 0)","(250, 0, 1)","(92, 70, -2)","(92, 70, -2)",48.8569340012,0.0
"(205, 19, 0)","(251, 0, 1)","(92, 70, -2)","(92, 70, -2)",49.7795138586,0.0
"(205, 20, 0)","(253, 0, 1)","(93, 71, -2)","(93, 71, -2)",52.0096144958,0.0
"(205, 20, 0)","(254, 0, 1)","(93, 71, -2)","(93, 71, -2)",52.9339210715,0.0
"(205, 20, 0)","(255, 0, 1)","(93, 71, -2)","(93, 71, -2)",53.860932038,0.0
"(206, 0, 0)","(207, 0, 0)","(76, 58, -2)","(76, 58, -2)",1.0,0.0
"(206, 0, 0)","(208, 0, 0)","(76, 58, -2)","(76, 58, -2)",2.0,0.0
"(206, 2, 0)","(209, 0, 0)","(77, 59, -2)","(77, 59, -2)",3.60555127546,0.0
"(206, 2, 0)","(209, 0, 1)","(77, 59, -2)","(77, 59, -2)",3.74165738677,0.0
"(206, 2, 0)","(210, 0, 0)","(77, 59, -2)","(77, 59, -2)",4.472135955,0.0
"(206, 2, 0)","(210, 0, 1)","(77, 59, -2)","(77, 59, -2)",4.58257569496,0.0
"(206, 2, 0)","(211, 0, 1)","(77, 59, -2)","(77, 59, -2)",5.47722557505,0.0
"(206, 3, 0)","(213, 0, 1)","(78, 60, -2)","(78, 60, -2)",7.68114574787,0.0
"(206, 3, 0)","(214, 0, 1)","(78, 60, -2)","(78, 60, -2)",8.60232526704,0.0
"(206, 4, 0)","(215, 0, 1)","(79, 60, -2)","(79, 60, -2)",9.89949493661,0.0
"(206, 5, 0)","(218, 0, 1)","(80, 61, -2)","(80, 61, -2)",13.0384048104,0.0
"(206, 5, 0)","(219, 0, 1)","(80, 61, -2)","(80, 61, -2)",13.9642400438,0.0
"(206, 6, 0)","(220, 0, 1)","(81, 62, -2)","(81, 62, -2)",15.2643375225,0.0
"(206, 6, 0)","(221, 0, 1)","(81, 62, -2)","(81, 62, -2)",16.1864140562,0.0
"(206, 6, 0)","(222, 0, 1)","(81, 62, -2)","(81, 62, -2)",17.1172427686,0.0
"(206, 8, 0)","(226, 0, 1)","(83, 63, -2)","(83, 63, -2)",21.5638586528,0.0
"(206, 9, 0)","(227, 0, 1)","(83, 64, -2)","(83, 64, -2)",22.8691932521,0.0
"(206, 10, 0)","(228, 0, 1)","(84, 64, -2)","(84, 64, -2)",24.1867732449,0.0
"(206, 10, 0)","(229, 0, 1)","(84, 64, -2)","(84, 64, -2)",25.099800796,0.0
"(206, 10, 0)","(230, 0, 1)","(84, 64, -2)","(84, 64, -2)",26.0192236625,0.0
"(206, 11, 0)","(231, 0, 1)","(85, 65, -2)","(85, 65, -2)",27.3313007374,0.0
"(206, 11, 0)","(232, 0, 1)","(85, 65, -2)","(85, 65, -2)",28.2488937837,0.0
"(206, 11, 0)","(233, 0, 1)","(85, 65, -2)","(85, 65, -2)",29.1719042916,0.0
"(206, 12, 0)","(234, 0, 1)","(86, 66, -2)","(86, 66, -2)",30.4795013083,0.0
"(206, 12, 0)","(235, 0, 1)","(86, 66, -2)","(86, 66, -2)",31.4006369362,0.0
"(206, 12, 0)","(236, 0, 1)","(86, 66, -2)","(86, 66, -2)",32.3264597505,0.0
"(206, 13, 0)","(237, 0, 1)","(87, 66, -2)","(87, 66, -2)",33.6303434416,0.0
"(206, 14, 0)","(239, 0, 1)","(88, 67, -2)","(88, 67, -2)",35.8608421541,0.0
"(206, 14, 0)","(240, 0, 1)","(88, 67, -2)","(88, 67, -2)",36.7831483155,0.0
"(206, 15, 0)","(242, 0, 1)","(89, 68, -2)","(89, 68, -2)",39.0128184063,0.0
"(206, 15, 0)","(243, 0, 1)","(89, 68, -2)","(89, 68, -2)",39.9374510954,0.0
"(206, 15, 0)","(244, 0, 1)","(89, 68, -2)","(89, 68, -2)",40.8656334834,0.0
"(206, 16, 0)","(242, 0, 1)","(89, 68, -2)","(89, 68, -2)",39.4081209905,0.0
"(206, 16, 0)","(243, 0, 1)","(89, 68, -2)","(89, 68, -2)",40.3236903073,0.0
"(206, 16, 0)","(244, 0, 1)","(89, 68, -2)","(89, 68, -2)",41.2431812546,0.0
"(206, 17, 0)","(245, 0, 1)","(90, 69, -2)","(90, 69, -2)",42.5558456619,0.0
"(206, 17, 0)","(246, 0, 1)","(90, 69, -2)","(90, 69, -2)",43.4741302386,0.0
"(206, 18, 0)","(248, 0, 1)","(91, 70, -2)","(91, 70, -2)",45.7055795281,0.0
"(206, 18, 0)","(249, 0, 1)","(91, 70, -2)","(91, 70, -2)",46.6261729075,0.0
"(206, 19, 0)","(250, 0, 1)","(92, 70, -2)","(92, 70, -2)",47.9374592568,0.0
"(206, 19, 0)","(251, 0, 1)","(92, 70, -2)","(92, 70, -2)",48.8569340012,0.0
"(206, 20, 0)","(253, 0, 1)","(93, 71, -2)","(93, 71, -2)",51.0881590978,0.0
"(206, 20, 0)","(254, 0, 1)","(93, 71, -2)","(93, 71, -2)",52.0096144958,0.0
"(206, 20, 0)","(255, 0, 1)","(93, 71, -2)","(93, 71, -2)",52.9339210715,0.0
"(207, 0, 0)","(206, 0, 0)","(76, 58, -2)","(76, 58, -2)",1.0,0.0
"(207, 0, 0)","(208, 0, 0)","(76, 58, -2)","(76, 58, -2)",1.0,0.0
"(207, 1, 0)","(209, 0, 0)","(77, 59, -2)","(77, 59, -2)",2.2360679775,0.0
"(207, 1, 0)","(209, 0, 1)","(77, 59, -2)","(77, 59, -2)",2.44948974278,0.0
"(207, 1, 0)","(210, 0, 0)","(77, 59, -2)","(77, 59, -2)",3.16227766017,0.0
