color1,color2,distance
"(3, 152, 0)","(0, 153, 0)",3.16227766017
"(3, 153, 0)","(0, 153, 0)",3.0
"(3, 153, 0)","(0, 154, 0)",3.16227766017
"(3, 154, 0)","(0, 154, 0)",3.0
"(3, 154, 0)","(0, 155, 0)",3.16227766017
"(3, 155, 0)","(0, 155, 0)",3.0
"(3, 155, 0)","(0, 156, 0)",3.16227766017
"(3, 156, 0)","(0, 156, 0)",3.0
"(3, 156, 0)","(0, 157, 0)",3.16227766017
"(3, 157, 0)","(0, 157, 0)",3.0
"(3, 157, 0)","(0, 158, 0)",3.16227766017
"(3, 158, 0)","(0, 158, 0)",3.0
"(3, 158, 0)","(0, 159, 0)",3.16227766017
"(3, 159, 0)","(0, 159, 0)",3.0
"(3, 159, 0)","(0, 160, 0)",3.16227766017
"(3, 160, 0)","(0, 160, 0)",3.0
"(3, 160, 0)","(0, 161, 0)",3.16227766017
"(3, 161, 0)","(0, 161, 0)",3.0
"(3, 161, 0)","(0, 162, 0)",3.16227766017
"(3, 162, 0)","(0, 162, 0)",3.0
"(3, 162, 0)","(0, 163, 0)",3.16227766017
"(3, 163, 0)","(0, 163, 0)",3.0
"(3, 163, 0)","(0, 164, 0)",3.16227766017
"(3, 164, 0)","(0, 164, 0)",3.0
"(3, 164, 0)","(0, 165, 0)",3.16227766017
"(3, 165, 0)","(0, 165, 0)",3.0
"(3, 165, 0)","(0, 166, 0)",3.16227766017
"(3, 166, 0)","(0, 166, 0)",3.0
"(3, 166, 0)","(0, 167, 0)",3.16227766017
"(3, 167, 0)","(0, 167, 0)",3.0
"(3, 167, 0)","(0, 168, 0)",3.16227766017
"(3, 168, 0)","(0, 168, 0)",3.0
"(3, 168, 0)","(0, 169, 0)",3.16227766017
"(3, 169, 0)","(0, 169, 0)",3.0
"(3, 169, 0)","(0, 170, 0)",3.16227766017
"(3, 170, 0)","(0, 170, 0)",3.0
"(3, 170, 0)","(0, 171, 0)",3.16227766017
"(3, 171, 0)","(0, 171, 0)",3.0
"(3, 171, 0)","(0, 172, 0)",3.16227766017
"(3, 172, 0)","(0, 172, 0)",3.0
"(3, 172, 0)","(0, 173, 0)",3.16227766017
"(3, 173, 0)","(0, 173, 0)",3.0
"(3, 173, 0)","(0, 174, 0)",3.16227766017
"(3, 174, 0)","(0, 174, 0)",3.0
"(3, 174, 0)","(0, 175, 0)",3.16227766017
"(3, 175, 0)","(0, 175, 0)",3.0
"(3, 175, 0)","(0, 176, 0)",3.16227766017
"(3, 176, 0)","(0, 176, 0)",3.0
"(3, 176, 0)","(0, 177, 0)",3.16227766017
"(3, 177, 0)","(0, 177, 0)",3.0
"(3, 177, 0)","(0, 178, 0)",3.16227766017
"(3, 178, 0)","(0, 178, 0)",3.0
"(3, 178, 0)","(0, 179, 0)",3.16227766017
"(3, 179, 0)","(0, 179, 0)",3.0
"(3, 179, 0)","(0, 180, 0)",3.16227766017
"(3, 180, 0)","(0, 180, 0)",3.0
"(3, 180, 0)","(0, 181, 0)",3.16227766017
"(3, 181, 0)","(0, 181, 0)",3.0
"(3, 181, 0)","(0, 182, 0)",3.16227766017
"(3, 182, 0)","(0, 182, 0)",3.0
"(3, 182, 0)","(0, 183, 0)",3.16227766017
"(3, 183, 0)","(0, 183, 0)",3.0
"(3, 183, 0)","(0, 184, 0)",3.16227766017
"(3, 184, 0)","(0, 184, 0)",3.0
"(3, 184, 0)","(0, 185, 0)",3.16227766017
"(3, 185, 0)","(0, 185, 0)",3.0
"(3, 185, 0)","(0, 186, 0)",3.16227766017
"(3, 186, 0)","(0, 186, 0)",3.0
"(3, 186, 0)","(0, 187, 0)",3.16227766017
"(3, 187, 0)","(0, 187, 0)",3.0
"(3, 187, 0)","(0, 188, 0)",3.16227766017
"(3, 188, 0)","(0, 188, 0)",3.0
"(3, 188, 0)","(0, 189, 0)",3.16227766017
"(3, 189, 0)","(0, 189, 0)",3.0
"(3, 189, 0)","(0, 190, 0)",3.16227766017
"(3, 190, 0)","(0, 190, 0)",3.0
"(3, 190, 0)","(0, 191, 0)",3.16227766017
"(3, 191, 0)","(0, 191, 0)",3.0
"(3, 191, 0)","(0, 192, 0)",3.16227766017
"(3, 192, 0)","(0, 192, 0)",3.0
"(3, 192, 0)","(0, 193, 0)",3.16227766017
"(3, 193, 0)","(0, 193, 0)",3.0
"(3, 193, 0)","(0, 194, 0)",3.16227766017
"(3, 194, 0)","(0, 194, 0)",3.0
"(3, 194, 0)","(0, 195, 0)",3.16227766017
"(3, 195, 0)","(0, 195, 0)",3.0
"(3, 195, 0)","(0, 196, 0)",3.16227766017
"(3, 196, 0)","(0, 196, 0)",3.0
"(3, 196, 0)","(0, 197, 0)",3.16227766017
"(3, 197, 0)","(0, 197, 0)",3.0
"(3, 197, 0)","(0, 198, 0)",3.16227766017
"(3, 198, 0)","(0, 198, 0)",3.0
"(3, 198, 0)","(0, 199, 0)",3.16227766017
"(3, 199, 0)","(0, 199, 0)",3.0
"(3, 199, 0)","(0, 200, 0)",3.16227766017
"(3, 200, 0)","(0, 200, 0)",3.0
"(3, 200, 0)","(0, 201, 0)",3.16227766017
"(3, 201, 0)","(0, 201, 0)",3.0
"(3, 201, 0)","(0, 202, 0)",3.16227766017
"(3, 202, 0)","(0, 202, 0)",3.0
"(3, 202, 0)","(0, 203, 0)",3.16227766017
"(3, 203, 0)","(0, 203, 0)",3.0
"(3, 203, 0)","(0, 204, 0)",3.16227766017
"(3, 204, 0)","(0, 204, 0)",3.0
"(3, 204, 0)","(0, 205, 0)",3.16227766017
"(3, 205, 0)","(0, 205, 0)",3.0
"(3, 205, 0)","(0, 206, 0)",3.16227766017
"(3, 206, 0)","(0, 206, 0)",3.0
"(3, 206, 0)","(0, 207, 0)",3.16227766017
"(3, 207, 0)","(0, 207, 0)",3.0
"(3, 207, 0)","(0, 208, 0)",3.16227766017
"(3, 208, 0)","(0, 208, 0)",3.0
"(3, 208, 0)","(0, 209, 0)",3.16227766017
"(3, 209, 0)","(0, 209, 0)",3.0
"(3, 209, 0)","(0, 210, 0)",3.16227766017
"(3, 210, 0)","(0, 210, 0)",3.0
"(3, 210, 0)","(0, 211, 0)",3.16227766017
"(3, 211, 0)","(0, 211, 0)",3.0
"(3, 211, 0)","(0, 212, 0)",3.16227766017
"(3, 212, 0)","(0, 212, 0)",3.0
"(3, 212, 0)","(0, 213, 0)",3.16227766017
"(3, 213, 0)","(0, 213, 0)",3.0
"(3, 213, 0)","(0, 214, 0)",3.16227766017
"(3, 214, 0)","(0, 214, 0)",3.0
"(3, 214, 0)","(0, 215, 0)",3.16227766017
"(3, 215, 0)","(0, 215, 0)",3.0
"(3, 215, 0)","(0, 216, 0)",3.16227766017
"(3, 216, 0)","(0, 216, 0)",3.0
"(3, 216, 0)","(0, 217, 0)",3.16227766017
"(3, 217, 0)","(0, 217, 0)",3.0
"(3, 217, 0)","(0, 218, 0)",3.16227766017
"(3, 218, 0)","(0, 218, 0)",3.0
"(3, 218, 0)","(0, 219, 0)",3.16227766017
"(3, 219, 0)","(0, 219, 0)",3.0
"(3, 219, 0)","(0, 220, 0)",3.16227766017
"(3, 220, 0)","(0, 220, 0)",3.0
"(3, 220, 0)","(0, 221, 0)",3.16227766017
