color1,color2,transformed_color1,transformed_color2,distance,transformed_distance
"(2, 136, 0)","(0, 137, 0)","(118, 92, 6)","(118, 92, 6)",2.2360679775,0.0
"(2, 137, 0)","(0, 138, 0)","(119, 93, 6)","(119, 93, 6)",2.2360679775,0.0
"(2, 138, 0)","(0, 139, 0)","(120, 93, 6)","(120, 93, 6)",2.2360679775,0.0
"(2, 139, 0)","(0, 140, 0)","(120, 94, 6)","(120, 94, 6)",2.2360679775,0.0
"(2, 140, 0)","(0, 141, 0)","(121, 95, 6)","(121, 95, 6)",2.2360679775,0.0
"(2, 141, 0)","(0, 142, 0)","(122, 95, 6)","(122, 95, 6)",2.2360679775,0.0
"(2, 142, 0)","(0, 143, 0)","(123, 96, 6)","(123, 96, 6)",2.2360679775,0.0
"(2, 143, 0)","(0, 144, 0)","(124, 97, 6)","(124, 97, 6)",2.2360679775,0.0
"(2, 145, 0)","(0, 146, 0)","(126, 98, 6)","(126, 98, 6)",2.2360679775,0.0
"(2, 147, 0)","(0, 147, 0)","(127, 99, 6)","(127, 99, 6)",2.0,0.0
"(2, 148, 0)","(0, 149, 0)","(128, 100, 6)","(128, 100, 6)",2.2360679775,0.0
"(2, 149, 0)","(0, 150, 0)","(129, 101, 6)","(129, 101, 6)",2.2360679775,0.0
"(2, 152, 0)","(0, 153, 0)","(132, 103, 7)","(132, 103, 7)",2.2360679775,0.0
"(2, 153, 0)","(0, 153, 0)","(132, 103, 7)","(132, 103, 7)",2.0,0.0
"(2, 154, 0)","(0, 154, 0)","(133, 104, 7)","(133, 104, 7)",2.0,0.0
"(2, 154, 0)","(0, 155, 0)","(133, 104, 7)","(133, 104, 7)",2.2360679775,0.0
"(2, 155, 0)","(0, 156, 0)","(134, 105, 7)","(134, 105, 7)",2.2360679775,0.0
"(2, 157, 0)","(0, 158, 0)","(136, 106, 7)","(136, 106, 7)",2.2360679775,0.0
"(2, 158, 0)","(0, 159, 0)","(137, 107, 7)","(137, 107, 7)",2.2360679775,0.0
"(2, 160, 0)","(0, 160, 0)","(138, 108, 7)","(138, 108, 7)",2.0,0.0
"(2, 161, 0)","(0, 162, 0)","(139, 109, 7)","(139, 109, 7)",2.2360679775,0.0
"(2, 162, 0)","(0, 163, 0)","(140, 110, 7)","(140, 110, 7)",2.2360679775,0.0
"(2, 163, 0)","(0, 164, 0)","(141, 110, 7)","(141, 110, 7)",2.2360679775,0.0
"(2, 164, 0)","(0, 165, 0)","(142, 111, 7)","(142, 111, 7)",2.2360679775,0.0
"(2, 165, 0)","(0, 166, 0)","(143, 112, 7)","(143, 112, 7)",2.2360679775,0.0
"(2, 166, 0)","(0, 167, 0)","(144, 112, 7)","(144, 112, 7)",2.2360679775,0.0
"(2, 168, 0)","(0, 169, 0)","(145, 114, 7)","(145, 114, 7)",2.2360679775,0.0
"(2, 169, 0)","(0, 170, 0)","(146, 114, 7)","(146, 114, 7)",2.2360679775,0.0
"(2, 170, 0)","(0, 171, 0)","(147, 115, 7)","(147, 115, 7)",2.2360679775,0.0
"(2, 171, 0)","(0, 172, 0)","(148, 116, 7)","(148, 116, 7)",2.2360679775,0.0
"(2, 172, 0)","(0, 173, 0)","(149, 116, 7)","(149, 116, 7)",2.2360679775,0.0
"(2, 173, 0)","(0, 174, 0)","(150, 117, 7)","(150, 117, 7)",2.2360679775,0.0
"(2, 176, 0)","(0, 177, 0)","(152, 119, 8)","(152, 119, 8)",2.2360679775,0.0
"(2, 177, 0)","(0, 178, 0)","(153, 120, 8)","(153, 120, 8)",2.2360679775,0.0
"(2, 178, 0)","(0, 179, 0)","(154, 120, 8)","(154, 120, 8)",2.2360679775,0.0
"(2, 179, 0)","(0, 180, 0)","(155, 121, 8)","(155, 121, 8)",2.2360679775,0.0
"(2, 180, 0)","(0, 181, 0)","(156, 122, 8)","(156, 122, 8)",2.2360679775,0.0
"(2, 181, 0)","(0, 182, 0)","(157, 122, 8)","(157, 122, 8)",2.2360679775,0.0
"(2, 182, 0)","(0, 183, 0)","(157, 123, 8)","(157, 123, 8)",2.2360679775,0.0
"(2, 183, 0)","(0, 184, 0)","(158, 124, 8)","(158, 124, 8)",2.2360679775,0.0
"(2, 184, 0)","(0, 185, 0)","(159, 124, 8)","(159, 124, 8)",2.2360679775,0.0
"(2, 185, 0)","(0, 186, 0)","(160, 125, 8)","(160, 125, 8)",2.2360679775,0.0
"(2, 186, 0)","(0, 187, 0)","(161, 126, 8)","(161, 126, 8)",2.2360679775,0.0
"(2, 187, 0)","(0, 188, 0)","(162, 126, 8)","(162, 126, 8)",2.2360679775,0.0
"(2, 188, 0)","(0, 189, 0)","(163, 127, 8)","(163, 127, 8)",2.2360679775,0.0
"(2, 190, 0)","(0, 190, 0)","(164, 128, 8)","(164, 128, 8)",2.0,0.0
"(2, 190, 0)","(0, 191, 0)","(164, 128, 8)","(164, 128, 8)",2.2360679775,0.0
"(2, 191, 0)","(0, 192, 0)","(165, 129, 8)","(165, 129, 8)",2.2360679775,0.0
"(2, 192, 0)","(0, 193, 0)","(166, 130, 8)","(166, 130, 8)",2.2360679775,0.0
"(2, 193, 0)","(0, 194, 0)","(167, 130, 8)","(167, 130, 8)",2.2360679775,0.0
"(2, 194, 0)","(0, 195, 0)","(168, 131, 8)","(168, 131, 8)",2.2360679775,0.0
"(2, 195, 0)","(0, 196, 0)","(169, 132, 8)","(169, 132, 8)",2.2360679775,0.0
"(2, 196, 0)","(0, 196, 0)","(169, 132, 8)","(169, 132, 8)",2.0,0.0
"(2, 200, 0)","(0, 201, 0)","(173, 135, 9)","(173, 135, 9)",2.2360679775,0.0
"(2, 201, 0)","(0, 202, 0)","(174, 136, 9)","(174, 136, 9)",2.2360679775,0.0
"(2, 203, 0)","(0, 203, 0)","(175, 137, 9)","(175, 137, 9)",2.0,0.0
"(2, 204, 0)","(0, 205, 0)","(176, 138, 9)","(176, 138, 9)",2.2360679775,0.0
"(2, 206, 0)","(0, 207, 0)","(178, 139, 9)","(178, 139, 9)",2.2360679775,0.0
"(2, 207, 0)","(0, 208, 0)","(179, 140, 9)","(179, 140, 9)",2.2360679775,0.0
"(2, 209, 0)","(0, 210, 0)","(181, 141, 9)","(181, 141, 9)",2.2360679775,0.0
"(2, 211, 0)","(0, 211, 0)","(182, 142, 9)","(182, 142, 9)",2.0,0.0
"(2, 212, 0)","(0, 213, 0)","(183, 143, 9)","(183, 143, 9)",2.2360679775,0.0
"(2, 213, 0)","(0, 214, 0)","(184, 144, 9)","(184, 144, 9)",2.2360679775,0.0
"(2, 215, 0)","(0, 216, 0)","(186, 145, 9)","(186, 145, 9)",2.2360679775,0.0
"(2, 216, 0)","(0, 217, 0)","(187, 146, 9)","(187, 146, 9)",2.2360679775,0.0
"(2, 217, 0)","(0, 217, 0)","(187, 146, 9)","(187, 146, 9)",2.0,0.0
"(2, 218, 0)","(0, 218, 0)","(188, 147, 9)","(188, 147, 9)",2.0,0.0
"(2, 218, 0)","(0, 219, 0)","(188, 147, 9)","(188, 147, 9)",2.2360679775,0.0
"(2, 219, 0)","(0, 220, 0)","(189, 148, 9)","(189, 148, 9)",2.2360679775,0.0
"(2, 220, 0)","(0, 221, 0)","(190, 149, 9)","(190, 149, 9)",2.2360679775,0.0
"(2, 222, 0)","(0, 223, 0)","(192, 150, 10)","(192, 150, 10)",2.2360679775,0.0
"(2, 223, 0)","(0, 224, 0)","(193, 151, 10)","(193, 151, 10)",2.2360679775,0.0
"(2, 224, 0)","(0, 225, 0)","(194, 151, 10)","(194, 151, 10)",2.2360679775,0.0
"(2, 226, 0)","(0, 227, 0)","(195, 153, 10)","(195, 153, 10)",2.2360679775,0.0
"(2, 227, 0)","(0, 228, 0)","(196, 153, 10)","(196, 153, 10)",2.2360679775,0.0
"(2, 228, 0)","(0, 229, 0)","(197, 154, 10)","(197, 154, 10)",2.2360679775,0.0
"(2, 229, 0)","(0, 230, 0)","(198, 155, 10)","(198, 155, 10)",2.2360679775,0.0
"(2, 230, 0)","(0, 231, 0)","(199, 155, 10)","(199, 155, 10)",2.2360679775,0.0
"(2, 231, 0)","(0, 232, 0)","(200, 156, 10)","(200, 156, 10)",2.2360679775,0.0
"(2, 233, 0)","(0, 233, 0)","(201, 157, 10)","(201, 157, 10)",2.0,0.0
"(2, 233, 0)","(0, 234, 0)","(201, 157, 10)","(201, 157, 10)",2.2360679775,0.0
"(2, 234, 0)","(0, 235, 0)","(202, 158, 10)","(202, 158, 10)",2.2360679775,0.0
"(2, 235, 0)","(0, 236, 0)","(203, 159, 10)","(203, 159, 10)",2.2360679775,0.0
"(2, 236, 0)","(0, 237, 0)","(204, 159, 10)","(204, 159, 10)",2.2360679775,0.0
"(2, 237, 0)","(0, 238, 0)","(205, 160, 10)","(205, 160, 10)",2.2360679775,0.0
"(2, 238, 0)","(0, 239, 0)","(206, 161, 10)","(206, 161, 10)",2.2360679775,0.0
"(2, 239, 0)","(0, 239, 0)","(206, 161, 10)","(206, 161, 10)",2.0,0.0
"(2, 240, 0)","(0, 241, 0)","(207, 162, 10)","(207, 162, 10)",2.2360679775,0.0
"(2, 241, 0)","(0, 242, 0)","(208, 163, 10)","(208, 163, 10)",2.2360679775,0.0
"(2, 242, 0)","(0, 243, 0)","(209, 163, 10)","(209, 163, 10)",2.2360679775,0.0
"(2, 243, 0)","(0, 244, 0)","(210, 164, 10)","(210, 164, 10)",2.2360679775,0.0
"(2, 247, 0)","(0, 248, 0)","(213, 167, 11)","(213, 167, 11)",2.2360679775,0.0
"(2, 248, 0)","(0, 249, 0)","(214, 167, 11)","(214, 167, 11)",2.2360679775,0.0
"(2, 249, 0)","(0, 250, 0)","(215, 168, 11)","(215, 168, 11)",2.2360679775,0.0
"(2, 250, 0)","(0, 251, 0)","(216, 169, 11)","(216, 169, 11)",2.2360679775,0.0
"(2, 251, 0)","(0, 252, 0)","(217, 169, 11)","(217, 169, 11)",2.2360679775,0.0
"(2, 252, 0)","(0, 253, 0)","(218, 170, 11)","(218, 170, 11)",2.2360679775,0.0
"(2, 254, 0)","(0, 254, 0)","(219, 171, 11)","(219, 171, 11)",2.0,0.0
"(2, 254, 0)","(0, 255, 0)","(219, 171, 11)","(219, 171, 11)",2.2360679775,0.0
"(3, 130, 0)","(0, 131, 0)","(113, 88, 6)","(113, 88, 6)",3.16227766017,0.0
"(3, 131, 0)","(0, 132, 0)","(114, 89, 6)","(114, 89, 6)",3.16227766017,0.0
"(3, 131, 0)","(0, 133, 0)","(114, 89, 6)","(114, 89, 6)",3.60555127546,0.0
"(3, 132, 0)","(0, 134, 0)","(115, 90, 6)","(115, 90, 6)",3.60555127546,0.0
"(3, 134, 0)","(0, 135, 0)","(116, 91, 6)","(116, 91, 6)",3.16227766017,0.0
"(3, 136, 0)","(0, 137, 0)","(118, 92, 6)","(118, 92, 6)",3.16227766017,0.0
"(3, 137, 0)","(0, 138, 0)","(119, 93, 6)","(119, 93, 6)",3.16227766017,0.0
"(3, 138, 0)","(0, 140, 0)","(120, 94, 6)","(120, 94, 6)",3.60555127546,0.0
"(3, 140, 0)","(0, 142, 0)","(122, 95, 6)","(122, 95, 6)",3.60555127546,0.0
